"length","fdr"
880,0.133813076143953
284,0.242180672583969
207,0.20583434278597
210,0.227397312123431
1895,0.0656200171126424
676,0.168745313986565
927,0.265266658174961
319,0.281812326157299
310,0.699279108708043
2342,0.547155482200573
472,0.205015523439695
356,0.652747096288725
4752,0.106199605828239
562,0.45206263662072
699,0.143398236666847
823,0.141531322934832
414,0.200303740276769
1795,0.200570193128469
294,0.278367829056104
738,0.23199882854521
270,0.249161508415255
722,0.134075614511078
458,0.508444446698696
452,0.1741354137553
229,0.385778474679165
374,0.146492484346183
457,0.340749201067251
600,0.12588122744772
2325,0.157387856229688
369,0.0765130354155873
629,0.247044651505748
3452,0.114815838205626
294,0.104624866403728
299,0.886322175405546
296,0.313415545573687
1608,0.0607749525095871
238,0.600507139101635
889,0.227594691018738
497,0.195147585296507
1202,0.0434214209477149
274,0.285524617672682
2755,0.135955047860064
2759,0.133538359580725
431,0.0996697373936089
440,0.172283590043453
1561,0.230654786705137
1191,0.0729937446101107
503,0.171023774563644
249,0.0598151998543856
600,0.204694172594723
3810,0.298189348365872
529,0.197338383055692
297,0.117184350823477
302,0.215072415988364
1635,0.155413615153767
259,0.0538637190883633
334,0.443829114347062
2733,0.417893484352498
1222,0.150867991628343
431,0.158136954314002
424,0.167667523861663
460,0.0858586166403996
266,0.0728708857420974
424,0.3699496643292
452,0.0139847200604412
1068,0.183078500885801
1102,0.146941924048931
2466,0.137513832490498
990,0.11800915133468
448,0.355398755326405
2760,0.126861791986565
700,0.148484899535631
249,0
206,0.216167427537989
2857,0.316133562413731
491,0.365774364993131
232,0.074167552563547
451,0.0425125394102476
371,0.225849858721275
388,0.234257366042073
226,0.314043754209008
410,0.1471529599021
1258,0.100776919128807
3790,0.136266107578535
3338,0.198771025603056
215,0.136412533972566
242,0.200005127342611
241,0.506434726339681
434,0.408790090048548
3234,0.0644113719038264
335,0.737474626357127
3343,0.132074290990791
204,0.377043147843026
291,0.385826414641691
217,0.104081805707682
1132,0.033557598573623
1114,0.13283398278204
2217,0.241466481413181
397,0.0689688450553582
338,0.11292545180097
1025,0.180755868200615
1716,0.1941453402244
2055,0.203482914991194
559,0.113142923111494
324,0.163965921211057
659,0.454091995323923
405,0.115162808403904
659,0.0957176229507953
1059,0.400002835569734
303,0.202875608567497
216,0.870884183507416
435,0.196985274081622
2584,0.245476875683272
2642,0.0990575283689417
411,0.175408442533013
336,0.0181592023544225
2046,0.179425077653002
382,0.224240093367301
1142,0.2236335692133
391,0.301763097823954
411,0.291367731932244
823,0.217780053384419
4269,0.0766763982825355
349,0.241942992177119
213,0.383649432693756
844,0.307531772640644
223,0.290243623927161
2038,0.12329033511829
317,0.142424753567487
280,0.145179193149631
915,0.260999531584903
226,0.373533953782168
358,0.167871257055426
